"","lat","lon","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"123","-2625","-3937.5",5.1,6.3,6.6,6,7.5,6.3,5.1,3.9,3.6,4.8,5.1,5.4
"124","-2550","-3937.5",6,7.5,8.1,8.4,9.6,9,7.5,4.5,3.6,5.7,7.2,6.6
"125","-2475","-3937.5",4.8,6,6.9,5.7,6,6.3,5.4,4.5,3.6,5.1,4.5,4.2
"126","-2400","-3937.5",7.5,8.7,9,6.9,6.3,6.9,6.6,6.3,7.2,7.5,8.1,6.9
"127","-2325","-3937.5",33.9,48.3,58.2,61.8,58.2,55.8,48.9,32.7,38.4,48.6,37.8,30.3
"128","1725","-3937.5",204,173.7,139.2,116.4,86.7,58.5,48.9,86.7,166.5,293.1,291.6,253.5
"129","1800","-3937.5",140.7,118.5,98.1,78,78.9,82.8,87.6,104.4,162.6,207.6,199.8,166.5
"130","1875","-3937.5",74.4,66,58.2,53.7,75.3,112.2,126.3,111,126.6,113.4,104.1,83.4
"131","1950","-3937.5",35.4,32.1,34.5,41.7,67.8,112.8,126,101.4,82.2,54.6,46.8,39.6
"132","2025","-3937.5",20.1,18.6,21,27.6,28.2,55.2,72.6,67.5,56.4,33.3,24.9,21
"133","2100","-3937.5",20.7,17.7,18.9,21.3,11.4,17.4,29.4,37.5,48.9,35.7,33.6,25.5
"134","-2700","-3825",0,0,0,0,0,0,0,0,0,0,0,0
"135","-2625","-3825",4.5,5.1,5.7,5.4,6.9,5.7,4.8,3.9,3.6,4.5,4.2,4.8
"136","-2550","-3825",6.9,8.7,9.3,9.3,10.2,9.6,8.4,5.1,4.5,6.3,8.1,7.2
"137","-2475","-3825",7.2,9.6,10.5,8.1,7.8,8.4,7.2,6,5.1,6.9,6.6,6
"138","-2400","-3825",6.9,9.9,10.5,8.4,6.9,7.2,6.9,6.3,6.6,7.2,8.4,6.3
"139","-2325","-3825",33.3,45.9,52.8,57.3,55.5,54.6,50.4,35.7,39,45.6,35.4,30.6
"140","1650","-3825",234.6,202.8,167.7,140.7,94.5,54.3,34.5,57.9,158.7,311.7,342.9,314.7
"141","1725","-3825",150,130.5,110.1,88.8,92.4,94.2,81.9,91.8,135.9,225.9,218.4,196.5
"142","1800","-3825",83.7,75.9,66.9,58.8,83.1,111.9,120,104.1,99.9,129,118.8,101.4
"143","1875","-3825",39,38.1,38.4,46.2,70.2,114.6,134.7,99.3,76.2,66.6,54.3,43.5
"144","1950","-3825",21.9,21.9,25.5,37.8,68.7,114.3,141.6,106.2,63.6,36.6,25.5,23.4
"145","2025","-3825",20.7,19.8,24,29.1,23.4,42,60.6,62.1,57.9,35.4,25.8,23.4
"146","-2700","-3712.5",0,0,0,0,0,0,0,0,0,0,0,0
"147","-2625","-3712.5",2.1,2.7,3.6,3.3,4.8,4.2,3.3,2.7,2.4,3,2.4,2.7
"148","-2550","-3712.5",5.7,7.2,7.8,8.7,9.3,8.7,7.5,4.8,4.5,5.4,6.6,6.3
"149","-2475","-3712.5",9,12,13.2,10.5,9.9,10.2,9,7.2,6.3,8.7,8.4,7.5
"150","-2400","-3712.5",7.5,11.1,13.5,11.1,9.9,10.5,9.9,7.8,8.1,9.6,9.6,6.9
"151","-2325","-3712.5",31.5,42.6,48,53.7,52.8,53.1,51.9,38.4,39,42.3,32.7,30
"152","1500","-3712.5",199.2,177,144.6,116.7,65.1,16.2,2.7,5.1,49.5,177,256.5,272.7
"153","1575","-3712.5",242.7,218.7,174,144.6,101.7,42.9,21.6,35.4,120,269.4,339,333
